sp1,sp2,ed_mass,abs_centroid_lat,ages
Ammodramus_bairdii,Ammodramus_henslowii,0.344641899,45.0289,3.624
Ammodramus_caudacutus,Ammodramus_nelsoni,0.238389046,46.209,0.589
Baeolophus_inornatus,Baeolophus_ridgwayi,0.085173865,37.0467,2.661
Calcarius_pictus,Calcarius_ornatus,0.274042679,56.315,1.939
Cantorchilus_leucotis,Cantorchilus_guarayanus,0.36772478,9.8223,4.303
Cantorchilus_modestus,Cantorchilus_zeledoni,0.263795723,12.2609,4.102
Cantorchilus_nigricapillus,Cantorchilus_semibadius,0.340665115,7.5587,4.298
Caryothraustes_canadensis,Caryothraustes_poliogaster,0.191937015,8.2949,3.229
Chlorothraupis_carmioli,Chlorothraupis_olivacea,0.031252544,3.332,2.482
Cnemathraupis_aureodorsalis,Cnemathraupis_eximia,0.304289809,4.3611,5.166
Corvus_caurinus,Corvus_brachyrhynchos,0.256551154,50.4921,0.683
Cranioleuca_marcapatae,Cranioleuca_albiceps,0.109296422,14.4799,1.641
Cyanerpes_lucidus,Cyanerpes_nitidus,0.236388778,7.6812,4.446
Dendrocincla_merula,Dendrocincla_tyrannina,0.090494834,1.7109,6.663
Dendrocolaptes_certhia,Dendrocolaptes_sanctithomae,0.026550232,8.1415,4.135
Dendrocolaptes_picumnus,Dendrocolaptes_platyrostris,0.227994005,10.6157,7.718
Dendroica_occidentalis,Dendroica_townsendi,0.161388347,48.6436,0.563
Dives_warszewiczi,Dives_dives,0.22396177,11.5663,2.649
Empidonax_atriceps,Empidonax_fulvifrons,0.130361818,17.0098,1.88
Empidonax_occidentalis,Empidonax_difficilis,0.080761357,43.6172,0.615
Geothlypis_tolmiei,Geothlypis_philadelphia,0.122047434,48.7965,1.233
Granatellus_venustus,Granatellus_sallaei,0.087011377,18.7107,4.789
Gymnopithys_leucaspis,Gymnopithys_rufigula,0.058372006,1.6029,0.472
Heterospingus_rubrifrons,Heterospingus_xanthopygius,0.020834087,6.8672,1.803
Hylophylax_naevius,Hylophylax_naevioides,0.225956493,5.6802,4.11
Icterus_graduacauda,Icterus_chrysater,0.235390525,16.0514,0.837
Icterus_nigrogularis,Icterus_gularis,0.318905913,13.0467,1.803
Iridosornis_reinhardti,Iridosornis_rufivertex,0.042559614,5.2359,2.237
Lanio_aurantius,Lanio_leucothorax,0.133531393,14.9198,0.694
Lepidothrix_iris,Lepidothrix_nattereri,0.048790164,7.6347,0.761
Lophospingus_griseocristatus,Lophospingus_pusillus,0.214106298,22.0733,1.971
Melozone_aberti,Melozone_crissalis,0.139903864,33.8916,1.316
Mitrephanes_olivaceus,Mitrephanes_phaeocercus,0.15082289,14.7373,3.472
Mitrospingus_cassinii,Mitrospingus_oleagineus,0.022032715,5.4361,5.954
Myrmeciza_fortis,Myrmeciza_immaculata,0.024719152,4.7818,2.57
Myrmotherula_pacifica,Myrmotherula_surinamensis,0.196279909,4.7648,0.631
Oreothlypis_luciae,Oreothlypis_ruficapilla,0.204794413,40.732,0.907
Oryzoborus_angolensis,Oryzoborus_funereus,0.055350095,9.4269,0.539
Paroaria_capitata,Paroaria_gularis,0.056660034,15.2847,2.279
Passerella_iliaca_1,Passerella_iliaca_2,0.067375402,54.986,0.926
Periporphyrus_erythromelas,Rhodothraupis_celaeno,0.223143551,12.0498,5.071
Peucaea_cassinii,Peucaea_aestivalis,0.036367644,32.2795,2.972
Peucaea_sumichrasti,Peucaea_carpalis,0.654841082,22.7664,4.398
Pheucticus_ludovicianus,Pheucticus_melanocephalus,0.115664391,43.1461,3.105
Pheugopedius_euophrys,Pheugopedius_mystacalis,0.048790164,2.938,5.237
Pheugopedius_maculipectus,Pheugopedius_rutilus,0.09198239,13.2191,4.2
Pheugopedius_sclateri,Pheugopedius_felix,0.510825624,12.2414,4.458
Pipra_aureola,Pipra_fasciicauda,0.01560094,7.4491,1.046
Pipra_rubrocapilla,Pipra_erythrocephala,0.114072456,4.9417,2.958
Plectrophenax_hyperboreus_and_nivialis,Rhynchophanes_mccownii,0.63197523,55.1971,4.864
Polioptila_californica,Polioptila_melanura,0.114872822,28.3748,3.052
Psarocolius_montezuma,Psarocolius_bifasciatus,0.102278849,10.8585,1.023
