sp_pair,ages,abs_centroid_lat,patry,clim_div_pc1,clim_div_pc2,clim_div_pc3
1,3.624,45.0289,0,5.407683027,4.173894862,1.217648674
2,0.589,46.209,0,9.257060229,2.1446397,0.052159318
3,2.857,10.7163,0,0.191009297,9.190816152,0.106316063
4,4.576,6.7001,0,6.289362104,1.311852997,1.747659619
5,1.579,7.333,0,1.219669593,1.103264794,0.173930467
6,2.651,7.6964,0,5.04837397,0.303114267,2.419266006
7,2.661,37.0467,0,2.288762713,1.113416791,2.1608513
8,3.543,7.3364,0,0.404465777,3.895981439,0.754157158
9,2.596,6.3014,0,2.544649214,1.530776802,0.441742134
10,1.199,7.7756,0,1.753180643,2.813176215,0.044958062
11,1.939,56.315,0,14.40008653,0.587946005,0.085637653
12,3.132,8.2328,0,1.649441119,0.551436951,0.98763455
13,4.303,9.8223,0,0.09881039,2.225431888,0.540171354
14,4.102,12.2609,0,6.613483654,2.634153729,2.043407667
15,4.298,7.5587,0,2.450859958,5.562307463,0.851375477
16,3.229,8.2949,0,0.775679858,1.275277067,0.158152089
17,0.883,49.2558,0,9.019958878,0.433750241,3.406201771
18,3.478,3.6308,0,1.14343948,1.006337211,0.598289044
19,2.436,15.0108,0,5.779646537,2.460614033,1.575524886
20,0.674,10.4604,0,8.965867471,1.408921165,1.491284565
21,2.482,3.332,0,1.36723648,2.186472563,0.483298065
22,5.166,4.3611,0,2.832640043,2.74951707,0.28199453
23,1.166,21.8039,0,2.788956399,3.387821381,1.54034213
24,0.683,50.4921,0,4.652042272,4.491902616,0.774847711
25,1.641,14.4799,0,1.145964541,0.150783391,0.523752448
26,1.646,6.6608,0,3.710546664,1.450521145,1.063266176
27,4.446,7.6812,0,0.865376221,1.671567559,0.358095384
28,6.663,1.7109,0,9.790311062,1.776212531,2.283208441
29,4.135,8.1415,0,0.772824343,0.050788732,0.145075646
30,7.718,10.6157,0,0.457951637,0.04899651,1.125674516
31,0.563,48.6436,0,6.128494272,0.940938384,2.2865973
32,2.649,11.5663,0,4.610343162,0.48017024,0.037286005
33,1.88,17.0098,0,6.112898878,6.2305774,3.637748832
34,0.759,12.205,0,2.633329595,2.0449948,0.33458545
35,0.615,43.6172,0,0.281622856,3.193368695,2.63828215
36,1.511,27.1993,0,0.3732841,4.74099979,2.483462941
37,1.233,48.7965,0,2.533905942,0.83505972,3.249089544
38,2.314,8.1864,0,0.885580865,3.555248189,0.928824836
39,4.789,18.7107,0,1.04667054,4.245678839,2.410288251
40,1.833,11.1368,0,0.10593998,0.974107245,0.484972563
41,0.472,1.6029,0,5.478727775,0.498311041,1.079700603
42,1.803,6.8672,0,1.967256516,0.656789007,0.01939764
43,4.11,5.6802,0,1.894305898,0.777015261,0.125491419
44,0.837,16.0514,0,3.848622981,2.966889523,2.399719613
45,1.803,13.0467,0,1.301254152,0.281392356,1.187537339
46,4.799,9.5501,0,6.988823483,8.087607084,2.04219469
47,2.237,5.2359,0,6.058149592,0.880432492,1.756951078
